SP,GD,NUM_MUT,DROPPED_PAIRS,SEQS,IUCN,IUCN_fact,IUCN_bin,IUCN_cr.en_1,taxonid,scientific_name,kingdom,phylum,class,order,family,genus,category,population_trend,marine_system,freshwater_system,terrestrial_system
Aceros corrugatus,0.013363213,187,0,6,NT,2,0,0,22682514,Rhabdotorrhinus corrugatus,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,BUCEROTIDAE,Rhabdotorrhinus,EN,Decreasing,FALSE,FALSE,TRUE
Aceros undulatus,0.021828683,415,0,7,LC,1,0,0,22682528,Rhyticeros undulatus,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,BUCEROTIDAE,Rhyticeros,VU,Decreasing,FALSE,FALSE,TRUE
Acrocephalus aequinoctialis,0.001836553,23,0,6,EN,4,1,1,22714802,Acrocephalus aequinoctialis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,EN,Decreasing,FALSE,FALSE,TRUE
Acrocephalus agricola,0.006434597,6514,368,50,LC,1,0,0,22714714,Acrocephalus agricola,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Decreasing,FALSE,TRUE,TRUE
Acrocephalus arundinaceus,0.004294648,43,16,7,LC,1,0,0,104317670,Acrocephalus arundinaceus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Decreasing,FALSE,TRUE,TRUE
Acrocephalus australis,0.00393354,233,24,13,LC,1,0,0,22714763,Acrocephalus australis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Stable,FALSE,TRUE,TRUE
Acrocephalus baeticatus,0.009324518,2039,42,24,LC,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus bistrigiceps,0.015900406,551,14,10,LC,1,0,0,22714709,Acrocephalus bistrigiceps,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Stable,FALSE,TRUE,TRUE
Acrocephalus brevipennis,0.0029558,585,0,20,VU,3,1,0,22714852,Acrocephalus brevipennis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,VU,Unknown,FALSE,TRUE,TRUE
Acrocephalus concinens,0.003882724,54,0,6,LC,1,0,0,22714719,Acrocephalus concinens,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Stable,FALSE,TRUE,TRUE
Acrocephalus dumetorum,0.006125876,172,214,18,LC,1,0,0,22714736,Acrocephalus dumetorum,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Increasing,FALSE,TRUE,TRUE
Acrocephalus familiaris,0.000892,1375,0,74,CR,5,1,1,22714797,Acrocephalus familiaris,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,CR,Stable,FALSE,FALSE,TRUE
Acrocephalus gracilirostris,0.016106062,593,32,11,LC,1,0,0,22714859,Acrocephalus gracilirostris,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Stable,TRUE,TRUE,TRUE
Acrocephalus melanopogon,0.01398708,960,24,13,LC,1,0,0,22714693,Acrocephalus melanopogon,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Stable,FALSE,TRUE,TRUE
Acrocephalus mendanae,0.020588812,5872,0,26,LC,1,0,0,104012371,Acrocephalus mendanae,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Stable,FALSE,FALSE,TRUE
Acrocephalus newtoni,0.006445902,41,24,8,LC,1,0,0,22714865,Acrocephalus newtoni,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Stable,FALSE,TRUE,TRUE
Acrocephalus palustris,0.002764014,2810,110,52,LC,1,0,0,22714741,Acrocephalus palustris,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Stable,FALSE,TRUE,TRUE
Acrocephalus rufescens,0.0090766,341,0,9,LC,1,0,0,22714846,Acrocephalus rufescens,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Stable,FALSE,TRUE,TRUE
Acrocephalus schoenobaenus,0.004386294,167,48,12,LC,1,0,0,22714700,Acrocephalus schoenobaenus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Stable,FALSE,TRUE,TRUE
Acrocephalus scirpaceus,0.013348519,97696,268,134,LC,1,0,0,22714722,Acrocephalus scirpaceus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Stable,FALSE,TRUE,TRUE
Acrocephalus stentoreus,0.022131313,1234,0,12,LC,1,0,0,22714751,Acrocephalus stentoreus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,LC,Stable,FALSE,TRUE,TRUE
Actinodura egertoni,0.003390277,58,0,6,LC,1,0,0,22716557,Actinodura egertoni,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,LEIOTRICHIDAE,Actinodura,LC,Decreasing,FALSE,FALSE,TRUE
Adelomyia melanogenys,0.051714398,35165,0,35,LC,1,0,0,22687696,Adelomyia melanogenys,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Adelomyia,LC,Unknown,FALSE,FALSE,TRUE
Aegithalos caudatus,0.007301462,60895,0,134,LC,1,0,0,103871923,Aegithalos caudatus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,AEGITHALIDAE,Aegithalos,LC,Stable,FALSE,TRUE,TRUE
Aegithalos concinnus,0.015393069,380804,0,230,LC,1,0,0,103870880,Aegithalos concinnus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,AEGITHALIDAE,Aegithalos,LC,Stable,FALSE,FALSE,TRUE
Aegithalos fuliginosus,0.000216,144,0,39,LC,1,0,0,22712024,Aegithalos fuliginosus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,AEGITHALIDAE,Aegithalos,LC,Stable,FALSE,FALSE,TRUE
Aegolius acadicus,0.001364361,1797,106,54,LC,1,0,0,22689366,Aegolius acadicus,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Aegolius,LC,Decreasing,FALSE,FALSE,TRUE
Aegolius funereus,0.006328416,142,174,17,LC,1,0,0,22689362,Aegolius funereus,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Aegolius,LC,Stable,FALSE,FALSE,TRUE
Aegotheles bennettii,0.037688709,551,48,11,LC,1,0,0,60814475,Aegotheles bennettii,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,AEGOTHELIDAE,Aegotheles,LC,Stable,FALSE,FALSE,TRUE
Aegotheles cristatus,0.004937713,36,16,6,LC,1,0,0,22689555,Aegotheles cristatus,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,AEGOTHELIDAE,Aegotheles,LC,Stable,FALSE,TRUE,TRUE
Aegypius monachus,0.016604156,4033,160,42,NT,2,0,0,22695231,Aegypius monachus,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Aegypius,NT,Decreasing,FALSE,FALSE,TRUE
Agelaius phoeniceus,0.008354552,627,26,14,LC,1,0,0,22724191,Agelaius phoeniceus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ICTERIDAE,Agelaius,LC,Decreasing,FALSE,TRUE,TRUE
Ailuroedus buccoides,0.012877208,463,0,10,LC,1,0,0,22703618,Ailuroedus buccoides,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PTILONORHYNCHIDAE,Ailuroedus,LC,Decreasing,FALSE,FALSE,TRUE
Ailuroedus crassirostris,0.009086738,201,0,8,LC,1,0,0,22703624,Ailuroedus crassirostris,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PTILONORHYNCHIDAE,Ailuroedus,LC,Decreasing,FALSE,FALSE,TRUE
Ailuroedus melanotis,0.01163359,976,0,15,LC,1,0,0,22703621,Ailuroedus melanotis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PTILONORHYNCHIDAE,Ailuroedus,LC,Decreasing,FALSE,FALSE,TRUE
Aimophila botterii,0.00501592,3551,176,48,LC,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aimophila cassinii,0.001455166,28,0,8,LC,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaemon alaudipes,0.025794108,380,0,6,LC,1,0,0,22717262,Alaemon alaudipes,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ALAUDIDAE,Alaemon,LC,Decreasing,FALSE,FALSE,TRUE
Alcippe chrysotis,0.034435454,445,0,6,LC,1,0,0,22716585,Lioparus chrysotis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PARADOXORNITHIDAE,Lioparus,LC,Decreasing,FALSE,FALSE,TRUE
Alcippe cinerea,0.025200113,305,0,6,LC,1,0,0,22716593,Schoeniparus cinereus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PELLORNEIDAE,Schoeniparus,LC,Decreasing,FALSE,FALSE,TRUE
Alcippe cinereiceps,0.040660626,430,0,6,LC,1,0,0,22735182,Fulvetta cinereiceps,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PARADOXORNITHIDAE,Fulvetta,LC,Unknown,FALSE,FALSE,TRUE
Alcippe dubia,0.054608685,886,12,8,LC,1,0,0,22716627,Schoeniparus dubius,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PELLORNEIDAE,Schoeniparus,LC,Decreasing,FALSE,FALSE,TRUE
Alcippe morrisonia,0.003426301,234,0,15,LC,1,0,0,22716644,Alcippe morrisonia,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ALCIPPEIDAE,Alcippe,LC,Unknown,FALSE,FALSE,TRUE
Alcippe poioicephala,0.028051504,2106,0,14,LC,1,0,0,22716633,Alcippe poioicephala,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ALCIPPEIDAE,Alcippe,LC,Decreasing,FALSE,FALSE,TRUE
Alectoris graeca,0.001436751,26,36,9,NT,2,0,0,22678684,Alectoris graeca,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Alectoris,NT,Decreasing,FALSE,FALSE,TRUE
Alectoris magna,0.003240344,726,0,24,LC,1,0,0,22678703,Alectoris magna,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Alectoris,LC,Decreasing,FALSE,FALSE,TRUE
Alectrurus risora,0.003632499,138,0,11,VU,3,1,0,22700303,Alectrurus risora,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TYRANNIDAE,Alectrurus,VU,Decreasing,FALSE,TRUE,TRUE
Alectura lathami,0.001742934,6232,472,125,LC,1,0,0,22678551,Alectura lathami,ANIMALIA,CHORDATA,AVES,GALLIFORMES,MEGAPODIIDAE,Alectura,LC,Decreasing,FALSE,TRUE,TRUE
Alethe poliocephala,0.040888096,4454,0,15,LC,1,0,0,22708992,Chamaetylas poliocephala,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Chamaetylas,LC,Decreasing,FALSE,FALSE,TRUE
Amaurornis phoenicurus,0.002861542,14,18,6,LC,1,0,0,22692640,Amaurornis phoenicurus,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Amaurornis,LC,Unknown,TRUE,TRUE,TRUE
Amazona farinosa,0.021959342,4515,46,24,NT,2,0,0,45430572,Amazona farinosa,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,NT,Decreasing,FALSE,FALSE,TRUE
Amazona ochrocephala,0.023467533,632,0,9,LC,1,0,0,22686346,Amazona ochrocephala,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,LC,Decreasing,FALSE,FALSE,TRUE
Amblycercus holosericeus,0.027584429,369,0,6,LC,1,0,0,22724065,Amblycercus holosericeus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ICTERIDAE,Amblycercus,LC,Decreasing,FALSE,FALSE,TRUE
Ammomanes deserti,0.050175949,720,0,6,LC,1,0,0,22717254,Ammomanes deserti,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ALAUDIDAE,Ammomanes,LC,Increasing,FALSE,FALSE,TRUE
Amphispiza belli,0.007988643,40770,0,95,LC,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anairetes flavirostris,0.027446674,163,18,6,LC,1,0,0,22699397,Anairetes flavirostris,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TYRANNIDAE,Anairetes,LC,Stable,FALSE,FALSE,TRUE
Anairetes nigrocristatus,0.001613036,269,0,19,LC,1,0,0,22699387,Anairetes nigrocristatus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TYRANNIDAE,Anairetes,LC,Stable,FALSE,TRUE,TRUE
Anairetes reguloides,0.001226593,1531,102,52,LC,1,0,0,22699393,Anairetes reguloides,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TYRANNIDAE,Anairetes,LC,Stable,FALSE,FALSE,TRUE
Anas platyrhynchos,0.000742,784,2120,74,LC,1,0,0,22680186,Anas platyrhynchos,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,LC,Increasing,FALSE,TRUE,TRUE
Anas strepera,0.000678,1007,0,55,LC,1,0,0,22680149,Mareca strepera,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Mareca,LC,Increasing,FALSE,TRUE,TRUE
Andropadus latirostris,0.017999638,1053,0,14,LC,1,0,0,22712800,Eurillas latirostris,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PYCNONOTIDAE,Eurillas,LC,Stable,FALSE,FALSE,TRUE
Andropadus tephrolaemus,0.025627063,2210,0,17,LC,1,0,0,22712804,Arizelocichla tephrolaema,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PYCNONOTIDAE,Arizelocichla,LC,Stable,FALSE,FALSE,TRUE
Anodorhynchus hyacinthinus,0.000372,1494,0,86,VU,3,1,0,22685516,Anodorhynchus hyacinthinus,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Anodorhynchus,VU,Decreasing,FALSE,FALSE,TRUE
Anser albifrons,0.008761247,12498,236,61,LC,1,0,0,22679881,Anser albifrons,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anser,LC,Unknown,TRUE,TRUE,TRUE
Anser anser,0.00067,40,10,12,LC,1,0,0,22679889,Anser anser,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anser,LC,Increasing,FALSE,TRUE,TRUE
Anser cygnoides,0.008611358,4518,62,32,VU,3,1,0,22679869,Anser cygnoid,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anser,VU,Decreasing,TRUE,TRUE,TRUE
Anser erythropus,0.006281464,19986,176,89,VU,3,1,0,22679886,Anser erythropus,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anser,VU,Decreasing,FALSE,TRUE,TRUE
Anser fabalis,0.000582,14,0,8,LC,1,0,0,22679875,Anser fabalis,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anser,LC,Decreasing,FALSE,TRUE,TRUE
Anthus berthelotii,0.002184244,71,0,9,LC,1,0,0,22718508,Anthus berthelotii,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MOTACILLIDAE,Anthus,LC,Stable,FALSE,FALSE,TRUE
Anthus rufulus,0.006828134,135,0,7,LC,1,0,0,22718477,Anthus rufulus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MOTACILLIDAE,Anthus,LC,Stable,FALSE,FALSE,TRUE
Anthus similis,0.023059714,1392,0,12,LC,1,0,0,103821527,Anthus similis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MOTACILLIDAE,Anthus,LC,Stable,FALSE,FALSE,TRUE
Aphelocoma californica,0.001788429,686,0,32,LC,1,0,0,103727785,Aphelocoma californica,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Aphelocoma,LC,Stable,FALSE,FALSE,TRUE
Aphelocoma ultramarina,0.008292683,102,0,6,LC,1,0,0,22724961,Aphelocoma ultramarina,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Aphelocoma,LC,Decreasing,FALSE,FALSE,TRUE
Aphelocoma unicolor,0.043089431,2756,0,13,LC,1,0,0,22705642,Aphelocoma unicolor,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Aphelocoma,LC,Decreasing,FALSE,FALSE,TRUE
Aphrastura spinicauda,0.001665846,45,16,9,LC,1,0,0,22702153,Aphrastura spinicauda,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Aphrastura,LC,Stable,FALSE,FALSE,TRUE
Aptenodytes forsteri,0.003030087,63462,0,235,NT,2,0,0,22697752,Aptenodytes forsteri,ANIMALIA,CHORDATA,AVES,SPHENISCIFORMES,SPHENISCIDAE,Aptenodytes,NT,Decreasing,TRUE,FALSE,TRUE
Aptenodytes patagonicus,0.012019703,279,0,7,LC,1,0,0,22697748,Aptenodytes patagonicus,ANIMALIA,CHORDATA,AVES,SPHENISCIFORMES,SPHENISCIDAE,Aptenodytes,LC,Increasing,TRUE,FALSE,TRUE
Apteryx australis,0.012713002,44031,184,93,VU,3,1,0,22678122,Apteryx australis,ANIMALIA,CHORDATA,AVES,STRUTHIONIFORMES,APTERYGIDAE,Apteryx,VU,Decreasing,FALSE,FALSE,TRUE
Apteryx haastii,0.001938623,344,426,30,VU,3,1,0,22678132,Apteryx haastii,ANIMALIA,CHORDATA,AVES,STRUTHIONIFORMES,APTERYGIDAE,Apteryx,VU,Decreasing,FALSE,FALSE,TRUE
Apteryx mantelli,0.003769785,10339,508,82,VU,3,1,0,45353580,Apteryx mantelli,ANIMALIA,CHORDATA,AVES,STRUTHIONIFORMES,APTERYGIDAE,Apteryx,VU,Stable,FALSE,FALSE,TRUE
Apteryx owenii,0.006087874,1021,1748,53,NT,2,0,0,22678129,Apteryx owenii,ANIMALIA,CHORDATA,AVES,STRUTHIONIFORMES,APTERYGIDAE,Apteryx,NT,Increasing,FALSE,FALSE,TRUE
Apus affinis,0.004522474,823,34,25,LC,1,0,0,22686856,Apus affinis,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,APODIDAE,Apus,LC,Increasing,FALSE,FALSE,TRUE
Apus apus,0.003440925,369,38,18,LC,1,0,0,22686800,Apus apus,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,APODIDAE,Apus,LC,Stable,FALSE,TRUE,TRUE
Apus berliozi,0.002352668,26,0,6,LC,1,0,0,22686831,Apus berliozi,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,APODIDAE,Apus,LC,Stable,TRUE,FALSE,TRUE
Apus pacificus,0.015931488,287,0,7,LC,1,0,0,22686845,Apus pacificus,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,APODIDAE,Apus,LC,Stable,FALSE,FALSE,TRUE
Apus pallidus,0.003350236,42,0,6,LC,1,0,0,22686815,Apus pallidus,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,APODIDAE,Apus,LC,Stable,TRUE,FALSE,TRUE
Aquila audax,0.006053949,37,24,7,LC,1,0,0,22696064,Aquila audax,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Aquila,LC,Increasing,FALSE,TRUE,TRUE
Aquila chrysaetos,0.005410831,112,0,7,LC,1,0,0,22696060,Aquila chrysaetos,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Aquila,LC,Stable,FALSE,FALSE,TRUE
Aquila fasciatus,0.003134999,1413,310,36,LC,1,0,0,22696076,Aquila fasciata,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Aquila,LC,Decreasing,FALSE,TRUE,TRUE
Aquila gurneyi,0,0,10,6,NT,2,0,0,22696056,Aquila gurneyi,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Aquila,NT,Decreasing,FALSE,FALSE,TRUE
Aquila pomarina,0.015541689,154,10,6,LC,1,0,0,22696022,Clanga pomarina,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Clanga,LC,Stable,FALSE,FALSE,TRUE
Aquila rapax,0.008480353,85,10,6,LC,1,0,0,22696033,Aquila rapax,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Aquila,VU,Decreasing,FALSE,TRUE,TRUE
Arachnothera longirostra,0.003020903,18245,0,107,LC,1,0,0,103778625,Arachnothera longirostra,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,NECTARINIIDAE,Arachnothera,LC,Stable,FALSE,TRUE,TRUE
Aratinga weddellii,0.001829656,7,16,6,LC,1,0,0,22685732,Aratinga weddellii,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Aratinga,LC,Increasing,FALSE,FALSE,TRUE
Arborophila ardens,0.001312336,42,0,8,VU,3,1,0,22679063,Arborophila ardens,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Arborophila,VU,Decreasing,FALSE,FALSE,TRUE
Arborophila gingica,0.002354739,148,0,11,NT,2,0,0,22679050,Arborophila gingica,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Arborophila,NT,Decreasing,FALSE,FALSE,TRUE
Ardea cinerea,0.002083832,55,106,14,LC,1,0,0,22696993,Ardea cinerea,ANIMALIA,CHORDATA,AVES,PELECANIFORMES,ARDEIDAE,Ardea,LC,Unknown,TRUE,TRUE,TRUE
Ardea herodias,0.008740833,17,22,6,LC,1,0,0,181500967,Ardea herodias,ANIMALIA,CHORDATA,AVES,PELECANIFORMES,ARDEIDAE,Ardea,LC,Increasing,TRUE,TRUE,TRUE
Ardea purpurea,0.004747037,30,8,6,LC,1,0,0,22697031,Ardea purpurea,ANIMALIA,CHORDATA,AVES,PELECANIFORMES,ARDEIDAE,Ardea,LC,Decreasing,TRUE,TRUE,TRUE
Ardeotis arabs,0.008374511,244,0,8,NT,2,0,0,22691924,Ardeotis arabs,ANIMALIA,CHORDATA,AVES,OTIDIFORMES,OTIDIDAE,Ardeotis,NT,Decreasing,FALSE,FALSE,TRUE
Arremon aurantiirostris,0.053097413,3014,0,11,LC,1,0,0,22721367,Arremon aurantiirostris,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PASSERELLIDAE,Arremon,LC,Decreasing,FALSE,FALSE,TRUE
Arremon flavirostris,0.009781285,2752,0,26,LC,1,0,0,155185342,Arremon flavirostris,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PASSERELLIDAE,Arremon,LC,Stable,FALSE,FALSE,TRUE
Asio flammeus,0.011942491,109,36,9,LC,1,0,0,22689531,Asio flammeus,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Asio,LC,Decreasing,FALSE,TRUE,TRUE
Asio otus,0.017293967,443,126,16,LC,1,0,0,22689507,Asio otus,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Asio,LC,Decreasing,FALSE,FALSE,TRUE
Athene cunicularia,0.024348518,306,48,11,LC,1,0,0,22689353,Athene cunicularia,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Athene,LC,Decreasing,FALSE,FALSE,TRUE
Athene noctua,0.045121127,1070,56,11,LC,1,0,0,22689328,Athene noctua,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Athene,LC,Stable,FALSE,FALSE,TRUE
Attila spadiceus,0.007548186,40039,416,106,LC,1,0,0,22700354,Attila spadiceus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TYRANNIDAE,Attila,LC,Decreasing,FALSE,FALSE,TRUE
Aulacorhynchus coeruleicinctis,0.004735256,130,16,9,LC,1,0,0,22681984,Aulacorhynchus coeruleicinctis,ANIMALIA,CHORDATA,AVES,PICIFORMES,RAMPHASTIDAE,Aulacorhynchus,LC,Decreasing,FALSE,FALSE,TRUE
Aulacorhynchus derbianus,0.033618086,6390,80,22,LC,1,0,0,22727086,Aulacorhynchus derbianus,ANIMALIA,CHORDATA,AVES,PICIFORMES,RAMPHASTIDAE,Aulacorhynchus,LC,Decreasing,FALSE,FALSE,TRUE
Aulacorhynchus haematopygus,0.013080777,591,20,11,LC,1,0,0,22681978,Aulacorhynchus haematopygus,ANIMALIA,CHORDATA,AVES,PICIFORMES,RAMPHASTIDAE,Aulacorhynchus,LC,Stable,FALSE,FALSE,TRUE
Aulacorhynchus prasinus,0.054842793,37387,1378,66,LC,1,0,0,22726170,Aulacorhynchus prasinus,ANIMALIA,CHORDATA,AVES,PICIFORMES,RAMPHASTIDAE,Aulacorhynchus,LC,Decreasing,FALSE,TRUE,TRUE
Aulacorhynchus sulcatus,0.003730945,439,32,17,LC,1,0,0,61567591,Aulacorhynchus sulcatus,ANIMALIA,CHORDATA,AVES,PICIFORMES,RAMPHASTIDAE,Aulacorhynchus,LC,Decreasing,FALSE,FALSE,TRUE
Automolus ochrolaemus,0.025560424,330078,2196,166,LC,1,0,0,22702910,Automolus ochrolaemus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Automolus,LC,Decreasing,FALSE,FALSE,TRUE
Automolus rubiginosus,0.03113192,911,0,8,LC,1,0,0,22736301,Clibanornis rufipectus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Clibanornis,VU,Decreasing,FALSE,FALSE,TRUE
Aythya fuligula,0.001060152,56,0,11,LC,1,0,0,22680391,Aythya fuligula,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Aythya,LC,Stable,TRUE,TRUE,TRUE
Baeolophus inornatus,0.002529101,478,0,21,LC,1,0,0,22711978,Baeolophus inornatus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PARIDAE,Baeolophus,LC,Stable,FALSE,FALSE,TRUE
Baeolophus ridgwayi,0.001111111,45,0,10,LC,1,0,0,22729143,Baeolophus ridgwayi,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PARIDAE,Baeolophus,LC,Stable,FALSE,FALSE,TRUE
Bambusicola thoracicus,0.001490198,155,0,14,LC,1,0,0,22725191,Bambusicola thoracicus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Bambusicola,LC,Decreasing,FALSE,FALSE,TRUE
Baryphthengus martii,0.051496426,2255,0,10,LC,1,0,0,22682995,Baryphthengus martii,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,MOMOTIDAE,Baryphthengus,LC,Decreasing,FALSE,FALSE,TRUE
Basileuterus coronatus,0.00941748,8352,0,43,LC,1,0,0,22721992,Myiothlypis coronata,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PARULIDAE,Myiothlypis,LC,Decreasing,FALSE,FALSE,TRUE
