SP,GD,NUM_MUT,DROPPED_PAIRS,SEQS,IUCN,IUCN_fact,IUCN_bin,IUCN_cr.en_1,taxonid,scientific_name,kingdom,phylum,class,order,family,genus,category,population_trend,marine_system,freshwater_system,terrestrial_system
Terpsiphone cinnamomea,0.021883972,161,8,6,LC,1,0,0,103715802,Terpsiphone cinnamomea,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MONARCHIDAE,Terpsiphone,LC,Stable,FALSE,FALSE,TRUE
Terpsiphone mutata,0.028042151,255,0,6,LC,1,0,0,22707126,Terpsiphone mutata,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MONARCHIDAE,Terpsiphone,LC,Decreasing,FALSE,FALSE,TRUE
Terpsiphone paradisi,0.025116733,1100,0,12,LC,1,0,0,103715992,Terpsiphone paradisi,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MONARCHIDAE,Terpsiphone,LC,Stable,FALSE,FALSE,TRUE
Terpsiphone rufiventer,0.021636387,245,0,6,LC,1,0,0,22731073,Terpsiphone rufiventer,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MONARCHIDAE,Terpsiphone,LC,Decreasing,FALSE,FALSE,TRUE
Terpsiphone viridis,0.017867473,398,16,10,LC,1,0,0,22707108,Terpsiphone viridis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MONARCHIDAE,Terpsiphone,LC,Stable,FALSE,FALSE,TRUE
Tersina viridis,0.005775812,1518,184,27,LC,1,0,0,22723018,Tersina viridis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THRAUPIDAE,Tersina,LC,Stable,FALSE,FALSE,TRUE
Tetrao tetrix,0.001816043,56,44,14,LC,1,0,0,22679480,Lyrurus tetrix,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Lyrurus,LC,Decreasing,FALSE,TRUE,TRUE
Tetrao urogallus,0.004409846,1120,124,33,LC,1,0,0,22679487,Tetrao urogallus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Tetrao,LC,Decreasing,FALSE,FALSE,TRUE
Tetraogallus himalayensis,0.007573347,3233,468,45,LC,1,0,0,22678673,Tetraogallus himalayensis,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Tetraogallus,LC,Stable,FALSE,FALSE,TRUE
Tetraogallus tibetanus,0.003795726,488,48,23,LC,1,0,0,22678667,Tetraogallus tibetanus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Tetraogallus,LC,Stable,FALSE,FALSE,TRUE
Thamnophilus aethiops,0.025533061,76064,0,78,LC,1,0,0,22701309,Thamnophilus aethiops,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnophilus,LC,Decreasing,FALSE,TRUE,TRUE
Thamnophilus ambiguus,0.005482371,1060,0,22,LC,1,0,0,22733317,Thamnophilus ambiguus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnophilus,LC,Stable,FALSE,FALSE,TRUE
Thamnophilus caerulescens,0.00879631,68531,0,131,LC,1,0,0,22701338,Thamnophilus caerulescens,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnophilus,LC,Decreasing,FALSE,TRUE,TRUE
Thamnophilus doliatus,0.015092327,149,10,6,LC,1,0,0,22701275,Thamnophilus doliatus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnophilus,LC,Stable,FALSE,FALSE,TRUE
Thamnophilus pelzelni,0.003117711,548,0,21,LC,1,0,0,22733327,Thamnophilus pelzelni,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnophilus,LC,Decreasing,FALSE,FALSE,TRUE
