to_IUCN,genus.x,species,He,mean_Ne,pres_hab,past_hab,iucn,mass,diet,gen_time,row_id,taxonid,scientific_name,kingdom,phylum,class,order,family,genus.y,category,population_trend,marine_system,freshwater_system,terrestrial_system,IUCN_fact,IUCN_binary
Haliaeetus albicilla,Haliaeetus,albicilla,0.0004638,4.1195,22.9218,17.3083,LC,4740,VertFishScav,8,42,22695137,Haliaeetus albicilla,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Haliaeetus,LC,Increasing,TRUE,TRUE,TRUE,1,0
Haliaeetus leucocephalus,Haliaeetus,leucocephalus,0.0006753,5.0024,380.5952,350.766,LC,521,VertFishScav,4,43,22695144,Haliaeetus leucocephalus,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Haliaeetus,LC,Increasing,TRUE,TRUE,TRUE,1,0
Lagopus muta,Lagopus,muta,0.0017822,33.1788,154.1381,96.7835,LC,260.8,PlantSeed,5.6,44,22679464,Lagopus muta,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Lagopus,LC,Decreasing,FALSE,FALSE,TRUE,1,0
Leptosomus discolor,Leptosomus,discolor,0.0028187,27.5016,14.3676,14.6849,LC,17.5,Invertebrate,4,45,22682975,Leptosomus discolor,ANIMALIA,CHORDATA,AVES,LEPTOSOMIFORMES,LEPTOSOMIDAE,Leptosomus,LC,Decreasing,FALSE,FALSE,TRUE,1,0
Manacus vitellinus,Manacus,vitellinus,0.0052052,25.9219,4.0848,7.3119,LC,43,FruiNect,2,46,22701109,Manacus vitellinus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PIPRIDAE,Manacus,LC,Decreasing,FALSE,FALSE,TRUE,1,0
Merops nubicus,Merops,nubicus,0.0042117,19.2836,402.285,257.1877,LC,148,Invertebrate,2,47,22683768,Merops nubicus,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,MEROPIDAE,Merops,LC,Decreasing,FALSE,TRUE,TRUE,1,0
Mesitornis unicolor,Mesitornis,unicolor,0.0014248,21.8519,1.3085,1.9499,VU,867.5,Invertebrate,8,48,22692966,Mesitornis unicolor,ANIMALIA,CHORDATA,AVES,MESITORNITHIFORMES,MESITORNITHIDAE,Mesitornis,VU,Decreasing,FALSE,FALSE,TRUE,3,1
Nestor notabilis,Nestor,notabilis,0.0010332,3.5873,2.4075,1.5572,EN,1900,PlantSeed,6,49,22684831,Nestor notabilis,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,STRIGOPIDAE,Nestor,EN,Decreasing,FALSE,FALSE,TRUE,4,1
Nipponia nippon,Nipponia,nippon,0.0005412,7.6491,0.3996,23.3335,EN,793,VertFishScav,6,50,22697548,Nipponia nippon,ANIMALIA,CHORDATA,AVES,PELECANIFORMES,THRESKIORNITHIDAE,Nipponia,EN,Increasing,FALSE,TRUE,TRUE,4,1
Opisthocomus hoazin,Opisthocomus,hoazin,0.0027544,8.1279,312.947,257.0777,LC,161.5,PlantSeed,9,51,22684428,Opisthocomus hoazin,ANIMALIA,CHORDATA,AVES,OPISTHOCOMIFORMES,OPISTHOCOMIDAE,Opisthocomus,LC,Decreasing,FALSE,TRUE,TRUE,1,0
Paradisaea rubra,Paradisaea,rubra,0.0028678,3.0121,0.453,8.5114,NT,4093.75,FruiNect,4,52,22706241,Paradisaea rubra,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PARADISAEIDAE,Paradisaea,NT,Decreasing,FALSE,FALSE,TRUE,2,0
Pavo cristatus,Pavo,cristatus,0.0029425,41.5494,307.6845,1344.7721,LC,8700,Omnivore,6,53,22679435,Pavo cristatus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Pavo,LC,Stable,FALSE,FALSE,TRUE,1,0
Pelecanus crispus,Pelecanus,crispus,0.0006417,5.7937,77.6548,66.6029,NT,347,VertFishScav,8,54,22697599,Pelecanus crispus,ANIMALIA,CHORDATA,AVES,PELECANIFORMES,PELECANIDAE,Pelecanus,NT,Decreasing,TRUE,TRUE,TRUE,2,0
Phaethon lepturus,Phaethon,lepturus,0.0016373,9.9578,41.815,1073.2684,LC,2200,VertFishScav,6,55,22696645,Phaethon lepturus,ANIMALIA,CHORDATA,AVES,PHAETHONTIFORMES,PHAETHONTIDAE,Phaethon,LC,Decreasing,TRUE,FALSE,TRUE,1,0
Phalacrocorax carbo,Phalacrocorax,carbo,0.0015832,9.3469,184.034,257.8992,LC,7.9,VertFishScav,2,56,22696792,Phalacrocorax carbo,ANIMALIA,CHORDATA,AVES,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,LC,Increasing,TRUE,TRUE,TRUE,1,0
Phylloscopus trochiloides,Phylloscopus,trochiloides,0.003418,27.7098,652.7385,429.1722,LC,27.5,Invertebrate,2,57,103845399,Phylloscopus trochiloides,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PHYLLOSCOPIDAE,Phylloscopus,LC,Increasing,FALSE,TRUE,TRUE,1,0
Pseudopodoces humilis,Pseudopodoces,humilis,0.001817,11.64,86.2046,71.9553,LC,46.8,Invertebrate,2,58,22705903,Pseudopodoces humilis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PARIDAE,Pseudopodoces,LC,Stable,FALSE,FALSE,TRUE,1,0
Pterocles gutturalis,Pterocles,gutturalis,0.0016373,63.832,26.6523,18.7512,LC,339,PlantSeed,5.6,59,22692998,Pterocles gutturalis,ANIMALIA,CHORDATA,AVES,PTEROCLIFORMES,PTEROCLIDAE,Pterocles,LC,Decreasing,FALSE,TRUE,TRUE,1,0
Scolopax mira,Scolopax,mira,0.0007226,16.7948,0.0754,1.4244,VU,312.5,Invertebrate,2,60,22693056,Scolopax mira,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Scolopax,VU,Stable,FALSE,FALSE,TRUE,3,1
Setophaga coronata,Setophaga,coronata,0.0068522,90.692,171.3516,160.845,LC,12.6,Invertebrate,3.5,61,103798425,Setophaga coronata,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PARULIDAE,Setophaga,LC,Unknown,FALSE,FALSE,TRUE,1,0
Streptopelia turtur,Streptopelia,turtur,0.0035816,226.7234,236.7179,54.3229,VU,134.25,PlantSeed,2,62,22690419,Streptopelia turtur,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Streptopelia,VU,Decreasing,FALSE,FALSE,TRUE,3,1
Struthio camelus,Struthio,camelus,0.0019511,14.4674,198.4569,351.6493,LC,109250,PlantSeed,8,63,45020636,Struthio camelus,ANIMALIA,CHORDATA,AVES,STRUTHIONIFORMES,STRUTHIONIDAE,Struthio,LC,Decreasing,FALSE,FALSE,TRUE,1,0
Sturnus vulgaris,Sturnus,vulgaris,0.0051928,39.746,290.72,512.4752,LC,77.7,Omnivore,2,64,22710886,Sturnus vulgaris,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,STURNIDAE,Sturnus,LC,Decreasing,TRUE,FALSE,TRUE,1,0
Tauraco erythrolophus,Tauraco,erythrolophus,0.0028026,27.0713,6.4248,17.7936,LC,267.5,FruiNect,4,65,22688346,Tauraco erythrolophus,ANIMALIA,CHORDATA,AVES,MUSOPHAGIFORMES,MUSOPHAGIDAE,Tauraco,LC,Decreasing,FALSE,FALSE,TRUE,1,0
Tinamus guttatus,Tinamus,guttatus,0.0071799,87.1149,126.4455,64.1423,NT,688,FruiNect,2,66,22678151,Tinamus guttatus,ANIMALIA,CHORDATA,AVES,STRUTHIONIFORMES,TINAMIDAE,Tinamus,NT,Decreasing,FALSE,FALSE,TRUE,2,0
Tyto alba,Tyto,alba,0.0014282,31.313,2193.9666,3378.2949,LC,381.6,VertFishScav,2,67,22688504,Tyto alba,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,TYTONIDAE,Tyto,LC,Stable,FALSE,TRUE,TRUE,1,0
Uria lomvia,Uria,lomvia,0.0072234,192.9982,17.1533,98.9057,LC,964,VertFishScav,10.8,68,22694847,Uria lomvia,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,ALCIDAE,Uria,LC,Increasing,TRUE,FALSE,TRUE,1,0
