to_IUCN	PopId	RefID	Year	TaxaClass	Family	Genus	Species	G_s	Common	Continent	Country	Location	n	FST	GlobalFST	Min.Distance	Max.Distance	Mean.Distance	N.Population	Ho	He	MNA	AR	Lat	Long	Msats	row_id	taxonid	scientific_name	kingdom	phylum	class	order	family	genus	category	population_trend	marine_system	freshwater_system	terrestrial_system	rlcat	meanGD	num_indiv	IUCN_fact	IUCN_binary
Chrysemys picta	4921	R489	2014	Reptilia	Emydidae	Chrysemys	picta	Chrysemys_picta	Painted turtle	NAm	CAN	Rosebud Lake	25	0.1225	Population	16701.5146	550053.5901	287924.1889	25	0.65	0.67	NA	5.44	49.048	-117.27	10	1165	163467	Chrysemys picta	ANIMALIA	CHORDATA	REPTILIA	TESTUDINES	EMYDIDAE	Chrysemys	LC	Stable	FALSE	TRUE	TRUE	LC	0.708878787878788	1026	1	0
Chrysocyon brachyurus	6862	R788B	2009	Mammalia	Canidae	Chrysocyon	brachyurus	Chrysocyon_brachyurus	Maned Wolf 	SAm	BRA	NW Sao Paulo State	84	-1e-04	Population	304806.7616	731715.5848	557096.8632	4	0.704	0.75	10.21	NA	-22.248	-48.668	14	3501	4819	Chrysocyon brachyurus	ANIMALIA	CHORDATA	MAMMALIA	CARNIVORA	CANIDAE	Chrysocyon	NT	Unknown	FALSE	FALSE	TRUE	NT	0.705714285714286	171	2	0
Clemmys guttata	4947	R445	2013	Reptilia	Emydidae	Clemmys	guttata	Clemmys_guttata	Spotted turtle	NAm	CAN	Lake Huron 2	30	0.0587	Population	12195.79533	561583.463	252925.3116	23	0.718	0.71	NA	4.44	44.399	-81.473	11	1191	4968	Clemmys guttata	ANIMALIA	CHORDATA	REPTILIA	TESTUDINES	EMYDIDAE	Clemmys	EN	Decreasing	FALSE	TRUE	TRUE	EN	0.6485	251	4	1
Clyomys laticeps	7554	R898	2012	Mammalia	Echimyidae	Clyomys	laticeps	Clyomys_laticeps	Broad-headed spiny rat	SAm	BRA	Cerrado	40	NA	NA	Inf	0	NA	1	0.76	0.789	16.7	NA	-23.724	-49.223	10	4267	4989	Clyomys laticeps	ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	ECHIMYIDAE	Clyomys	LC	Unknown	FALSE	FALSE	TRUE	LC	0.789	40	1	0
Cnemidophorus marmoratus	6235	R550	2015	Reptilia	Teiidae	Cnemidophorus	marmoratus	Cnemidophorus_marmoratus	Marbled whiptail	NAm	USA	NM-9 6N_close	400	0.0128	Population	111.3194908	1873065.04	223837.1387	35	0.54	0.54	5.89	5.07	31.795	-106.957	13	2807	64290	Aspidoscelis tigris	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	TEIIDAE	Aspidoscelis	LC	Stable	FALSE	FALSE	TRUE	LC	0.54	400	1	0
Cnemidophorus vanzoi	6236	R640	2006	Reptilia	Teiidae	Cnemidophorus	vanzoi	Cnemidophorus_vanzoi	St. Lucia whiptail	Carr	LCA	Marai Minor	14	0.71	Population	597.1414338	597.1414338	597.1414338	2	0.03	0.03	1.14	1.14	13.729	-60.93	8	2814	4997	Cnemidophorus vanzoi	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	TEIIDAE	Cnemidophorus	CR	Increasing	FALSE	FALSE	TRUE	CR	0.275	56	5	1
Colaptes auratus	8774	R1185	2009	Aves	Picidae	Colaptes	auratus	Colaptes_auratus	northern flickers	NAm	CAN	British Columbia	68	NA	NA	Inf	0	NA	1	0.700769231	0.849230769	16.2	NA	53.727	-127.648	13	5739	22726404	Colaptes auratus	ANIMALIA	CHORDATA	AVES	PICIFORMES	PICIDAE	Colaptes	LC	Decreasing	FALSE	FALSE	TRUE	LC	0.849230769	68	1	0
Colinus virginianus	8837	R1220	2017	Aves	Odontophoridae	Colinus	virginianus	Colinus_virginianus	northern bobwhite	NAm	USA	BRWMA	89	NA	NA	Inf	0	NA	2	0.756	0.815	13.6	NA	36.843	-100.692	10	5869	22728956	Colinus virginianus	ANIMALIA	CHORDATA	AVES	GALLIFORMES	ODONTOPHORIDAE	Colinus	NT	Decreasing	FALSE	FALSE	TRUE	NT	0.713384848555556	583	2	0
Coluber constrictor	4559	R447	2011	Reptilia	Colubridae	Coluber	constrictor	Coluber_constrictor	Eastern yellowbelly racer	NAm	USA	Central Irregular Plains: Geary County	76	NA	NA	16656.94533	134319.6317	58032.57189	7	0.725	0.818	NA	NA	39.001	-96.745	12	693	63748	Coluber constrictor	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	COLUBRIDAE	Coluber	LC	Stable	FALSE	FALSE	TRUE	LC	0.818	117	1	0
Conolophus subcristatus	5360	R551	2009	Reptilia	Iguanidae	Conolophus	subcristatus	Conolophus_subcristatus	Galapagos land iguana	SAm	ECU	Cerro Fatal	115	0.897	Population	20140.4848	20140.4848	20140.4848	2	0.61	0.58	5.33	NA	-0.646	-90.246	9	1701	5240	Conolophus subcristatus	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	IGUANIDAE	Conolophus	VU	Decreasing	FALSE	FALSE	TRUE	VU	0.558181818181818	951	3	1
Corapipo altera	8962	R1264	2007	Aves	Pipridae	Corapipo	altera	Corapipo_altera	White-ruffedManakins	CAm	CRI	Coto Brus	110	0.010888333	Population	8679.798871	18740.34168	13710.07028	3	0.7286	0.7044	27.5	85.42	8.882	-82.981	15	6039	103676541	Corapipo leucorrhoa	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	PIPRIDAE	Corapipo	LC	Decreasing	FALSE	FALSE	TRUE	LC	0.699605	309	1	0
Corvus brachyrhynchos	8890	R1248	2012	Aves	Corvidae	Corvus	brachyrhynchos	Corvus_brachyrhynchos	American crow	NAm	USA	New York	41	NA	NA	1686922.929	1686922.929	1686922.929	2	0.557	0.575	6.438	NA	41.2	-74.112	32	5956	22705990	Corvus brachyrhynchos	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	CORVIDAE	Corvus	LC	Increasing	FALSE	FALSE	TRUE	LC	0.5925	91	1	0
Coturnicops noveboracensis	8913	R1098	2012	Aves	Rallidae	Coturnicops	noveboracencis	Coturnicops_noveboracencis	The Yellow Rail	NAm	CAN	Central/West	88	-0.001466667	Population	1293257.783	3289905.308	1841399.192	7	0.726	0.7184	5.866	NA	46.636	-80.248	6	5979	22692275	Coturnicops noveboracensis	ANIMALIA	CHORDATA	AVES	GRUIFORMES	RALLIDAE	Coturnicops	LC	Decreasing	FALSE	TRUE	TRUE	LC	0.7092	116	1	0
Crax fasciolata	8623	R1114	2010	Aves	Cracidae	Crax	fasciolata	Crax_fasciolata	Bare-Faced Curassow	SAm	BRA	Porto Primavera Reservoir	23	NA	NA	Inf	0	NA	1	0.64	0.68	6.66	6.6	-22.489	-52.987	3	5471	45092100	Crax fasciolata	ANIMALIA	CHORDATA	AVES	GALLIFORMES	CRACIDAE	Crax	VU	Decreasing	FALSE	FALSE	TRUE	VU	0.68	23	3	1
Crax globulosa	8540	R1082	2015	Aves	Cracidae	Crax	globulosa	Crax_globulosa	wattled curassow	SAm	COL	Mocagua Island	64	NA	NA	Inf	0	NA	1	0.717	0.838	8.4	NA	-3.882	-70.232	5	5365	22678537	Crax globulosa	ANIMALIA	CHORDATA	AVES	GALLIFORMES	CRACIDAE	Crax	EN	Decreasing	FALSE	FALSE	TRUE	EN	0.838	64	4	1
Crocodylus acutus	4746	R469	2010	Reptilia	Crocodylidae	Crocodylus	acutus	Crocodylus_acutus	American crocodile	CAm	CRI	Palo Verde NP	54	0.0875	Population	56429.6216	310854.2923	133904.2572	5	0.55	0.634	NA	NA	10.383	-85.334	9	921	5659	Crocodylus acutus	ANIMALIA	CHORDATA	REPTILIA	CROCODYLIA	CROCODYLIDAE	Crocodylus	VU	Increasing	TRUE	TRUE	TRUE	VU	0.51185	NA	3	1
Crocodylus moreletii	4752	R470	2002	Reptilia	Crocodylidae	Crocodylus	moreletii	Crocodylus_moreletii	Morelet's crocodile	CAm	BLZ	Habenero Lagoon	NA	0.1225	Population	14259.03659	35461.27568	25499.71738	7	0.35	0.3	NA	NA	17.6	-88.717	9	927	5663	Crocodylus moreletii	ANIMALIA	CHORDATA	REPTILIA	CROCODYLIA	CROCODYLIDAE	Crocodylus	LC	Stable	FALSE	TRUE	TRUE	LC	0.4175	NA	1	0
Crocodylus rhombifer	4761	R567	2015	Reptilia	Crocodylidae	Crocodylus	rhombifer	Crocodylus_rhombifer	Cuban crocodile	NAm	CUB	Zapata Swamp	23	0.2629	Population	504994.2391	504994.2391	504994.2391	3	0.49	0.56	4.1	3.6	22.219	-81.66	9	938	5670	Crocodylus rhombifer	ANIMALIA	CHORDATA	REPTILIA	CROCODYLIA	CROCODYLIDAE	Crocodylus	CR	NA	FALSE	TRUE	TRUE	CR	0.56	23	5	1
Crotalus atrox	6481	R711	2011	Reptilia	Viperidae	Crotalus	atrox	Crotalus_atrox	Western diamondbacked rattlesnake	NAm	USA	Tucson	5	0.0254	Population	17718.38168	243482.3323	71352.37075	18	0.681	0.825	NA	NA	32.244	-111.075	30	3096	64311	Crotalus atrox	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	VIPERIDAE	Crotalus	LC	Stable	FALSE	FALSE	TRUE	LC	0.8268	131	1	0
Crotalus cerastes	6475	R711	2011	Reptilia	Viperidae	Crotalus	cerastes	Crotalus_cerastes	Sidewinder	NAm	USA	I-10	59	0.0325	Population	4021.606757	202323.9794	58479.91134	18	0.701	0.771	NA	NA	32.551	-111.323	30	3084	64315	Crotalus cerastes	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	VIPERIDAE	Crotalus	LC	Stable	FALSE	FALSE	TRUE	LC	0.765	74	1	0
Crotalus horridus	6419	R703	1998	Reptilia	Viperidae	Crotalus	horridus	Crotalus_horridus	Timber rattlesnake	NAm	USA	Berks County H5	3	0.0655	Population	44000.00284	45638.79351	44927.10774	5	NA	0.407	NA	NA	40.242	-75.825	4	3021	64318	Crotalus horridus	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	VIPERIDAE	Crotalus	LC	Decreasing	FALSE	FALSE	TRUE	LC	0.553736842105263	1005	1	0
Crotalus oreganus	6467	R710	2010	Reptilia	Viperidae	Crotalus	oreganus	Crotalus_oreganus	Midget faded rattlesnake	NAm	USA	NWa	18	0.0513	Population	4107.737468	33666.27745	16786.03397	11	0.47	0.49	4.22	3.49	41.331	-109.575	9	3074	64326	Crotalus oreganus	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	VIPERIDAE	Crotalus	LC	Stable	FALSE	FALSE	TRUE	LC	0.535454545454545	201	1	0
Crotalus scutulatus	6476	R711	2011	Reptilia	Viperidae	Crotalus	scutulatus	Crotalus_scutulatus	Mojave rattlesnake	NAm	USA	Central arizona water project canal	20	0.0164	Population	4021.606757	202586.129	57645.6495	18	0.768	0.81	6.667	NA	32.573	-111.289	30	3088	64332	Crotalus scutulatus	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	VIPERIDAE	Crotalus	LC	Stable	FALSE	FALSE	TRUE	LC	0.818	58	1	0
Crotalus tigris	6456	R707	2003	Reptilia	Viperidae	Crotalus	tigris	Crotalus_tigris	Tiger rattlesnale	NAm	USA	Tortolita Mountains	35	NA	NA	25413.26785	25413.26785	25413.26785	2	0.6	0.682	NA	NA	32.49	-111.062	6	3063	64335	Crotalus tigris	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	VIPERIDAE	Crotalus	LC	Stable	FALSE	FALSE	TRUE	LC	0.59925	94	1	0
Crotalus triseriatus	6490	R357	2014	Reptilia	Viperidae	Crotalus	triseriatus	Crotalus_triseriatus	Western shovel-nosed snake	NAm	USA	Colorado	105	0.066	Population	324411.4443	5473925.086	4469904.891	11	0.65	0.83	11.9	NA	30.95	-114.76	11	3105	64338	Crotalus triseriatus	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	VIPERIDAE	Crotalus	LC	Stable	FALSE	FALSE	TRUE	LC	0.669833333333333	349	1	0
Crotalus viridis	6489	R713	2014	Reptilia	Viperidae	Crotalus	viridis	Crotalus_viridis	Prairie rattlesnake	NAm	USA	Den 4 ( ~ 20 km N of MH)	215	0.0205	Population	5528.370503	27544.37879	19048.31706	4	NA	NA	NA	NA	50.209	-110.592	8	3104	64339	Crotalus viridis	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	VIPERIDAE	Crotalus	LC	Stable	FALSE	FALSE	TRUE	LC	0.59	860	1	0
Crotalus willardi	6457	R708	2007	Reptilia	Viperidae	Crotalus	willardi	Crotalus_willardi	New Mexico ridge-nosed rattlesnake	NAm	USA	Animas Mountains	54	0.16	Population	53155.28415	73845.30473	63500.29444	3	0.706	0.722	NA	NA	31.565	-108.783	9	3064	62253	Crotalus willardi	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	VIPERIDAE	Crotalus	LC	Stable	FALSE	FALSE	TRUE	LC	0.689	101	1	0
Crotaphytus collaris	5379	R556	2013	Reptilia	Iguanidae	Crotaphytus	collaris	Crotaphytus_collaris	Eastern collared lizard	NAm	USA	Stegall Mountain (SM-8)	10	0.3398	Population	764.7139658	3263.449289	2014.081627	3	NA	0.57	3.08	NA	37.078	-91.2	6	1720	64007	Crotaphytus collaris	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	CROTAPHYTIDAE	Crotaphytus	LC	Stable	FALSE	FALSE	TRUE	LC	0.551428571428571	307	1	0
Cryptobranchus alleganiensis	4784	R475	2016	Amphibia	Cryptobranchidae	Cryptobranchus	alleganiensis	Cryptobranchus_alleganiensis	Hellbender salamander (Eastern)	NAm	USA	Kettle Creek or "Susquehanna"	9	0.136	Population	83245.97859	184702.0401	134133.1421	11	0.648	0.605	3.83	3.73	41.469	-77.843	12	961	59077	Cryptobranchus alleganiensis	ANIMALIA	CHORDATA	AMPHIBIA	CAUDATA	CRYPTOBRANCHIDAE	Cryptobranchus	NT	Decreasing	FALSE	TRUE	TRUE	NT	0.630095238095238	929	2	0
Ctenomys australis	7503	R887	2010	Mammalia	Ctenomyidae	Ctenomys	australis	Ctenomys_australis	Sand dune tuco-tuco	SAm	ARG	Eastern	51	0.054	Population	18326.39997	31948.31737	25137.35867	3	0.61	0.53	4.75	NA	-38.505	-58.564	8	4194	5796	Ctenomys australis	ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	CTENOMYIDAE	Ctenomys	EN	Decreasing	FALSE	FALSE	TRUE	EN	0.52	112	4	1
Ctenomys dorbignyi	7496	R886	2010	Mammalia	Ctenomyidae	Ctenomys	dorbignyi	Ctenomys_dorbignyi	D'Orbigny's tuco-tuco	SAm	ARG	San Joaquin de Miraflores	7	0.3909	Population	379680.1466	419002.6028	399341.3747	24	0.56	0.589	3.44	1.58	-31.445	-59.119	16	4187	136234	Ctenomys dorbignyi	ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	CTENOMYIDAE	Ctenomys	NT	Decreasing	FALSE	FALSE	TRUE	NT	0.6075	26	2	0
Ctenomys flamarioni	7443	R879	2007	Mammalia	Ctenomyidae	Ctenomys	flamarioni	Ctenomys_flamarioni	Flamarion's tuco-tuco	SAm	BRA	Pinhal	30	0.2905	Population	50842.05263	52912.79033	51877.42148	3	0.49	0.53	3.6	NA	-30.248	-50.236	9	4113	136464	Ctenomys flamarioni	ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	CTENOMYIDAE	Ctenomys	EN	Decreasing	FALSE	FALSE	TRUE	EN	0.463333333333333	81	4	1
Ctenomys haigi	7464	R882	2002	Mammalia	Ctenomyidae	Ctenomys	haigi	Ctenomys_haigi	Haig's tuco-tuco	SAm	ARG	Rio Limay	35	NA	NA	Inf	0	NA	2	0.818	0.726	NA	NA	-40.933	-71.05	15	4134	5807	Ctenomys haigi	ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	CTENOMYIDAE	Ctenomys	LC	Unknown	FALSE	FALSE	TRUE	LC	0.726	35	1	0
Ctenomys magellanicus	7441	R878	2013	Mammalia	Ctenomyidae	Ctenomys	magellanicus	Ctenomys_magellanicus	Magellanic tuco-tuco	SAm	ARG	North region	34	0.108	Population	55738.40144	55738.40144	55738.40144	2	0.6	0.57	6	NA	-53.399	-68.311	12	4111	5812	Ctenomys magellanicus	ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	CTENOMYIDAE	Ctenomys	LC	Decreasing	FALSE	FALSE	TRUE	LC	0.6375	70	1	0
Ctenomys pearsoni	7469	R884	2009	Mammalia	Ctenomyidae	Ctenomys	pearsoni	Ctenomys_pearsoni	Pearson's tuco-tuco	SAm	URY	Colonia	35	NA	NA	Inf	0	NA	1	0.22	0.228	4.8	NA	-34.005	-57.597	5	4159	5819	Ctenomys pearsoni	ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	CTENOMYIDAE	Ctenomys	NT	Decreasing	FALSE	FALSE	TRUE	NT	0.4755	70	2	0
Ctenomys perrensi	7492	R886	2010	Mammalia	Ctenomyidae	Ctenomys	perrensi	Ctenomys_perrensi	Goya tuco-tuco	SAm	ARG	Rincon de Ambrosio	10	0.347	Population	379680.1466	419002.6028	399341.3747	24	0.527	0.611	3.62	1.56	-31.445	-59.119	16	4183	5820	Ctenomys perrensi	ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	CTENOMYIDAE	Ctenomys	LC	Stable	FALSE	FALSE	TRUE	LC	0.667	21	1	0
Ctenomys porteousi	7473	R885	2012	Mammalia	Ctenomyidae	Ctenomys	porteousi	Ctenomys_porteousi	Porteous's tuco-tuco	SAm	ARG	El Inca	14	0.1537	Population	11054.98516	53556.81375	29658.57483	8	0.55	0.79	6.7	NA	-36.833	-62.15	8	4163	5823	Ctenomys porteousi	ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	CTENOMYIDAE	Ctenomys	NT	Unknown	FALSE	FALSE	TRUE	NT	0.72375	143	2	0
Ctenomys rionegrensis	7521	R890	2003	Mammalia	Ctenomyidae	Ctenomys	rionegrensis	Ctenomys_rionegrensis	Rio Negro Tuco-tuco	SAm	URY	Rio Negro region (8 pops) Arrayanes	145	NA	NA	13917.74435	48910.64857	30428.31376	8	0.395	0.424	3.068	NA	-33.226	-58.04	11	4216	136635	Ctenomys rionegrensis	ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	CTENOMYIDAE	Ctenomys	EN	Decreasing	FALSE	FALSE	TRUE	EN	0.424	145	4	1
Ctenomys roigi	7480	R886	2010	Mammalia	Ctenomyidae	Ctenomys	roigi	Ctenomys_roigi	Roig's tuco-tuco	SAm	ARG	Arroyo Peguajo	12	0.3837	Population	46791.57717	379680.1466	365206.7305	24	0.552	0.697	2.78	1.545	-28.035	-59.038	16	4170	136633	Ctenomys roigi	ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	CTENOMYIDAE	Ctenomys	CR	Decreasing	FALSE	FALSE	TRUE	CR	0.697	12	5	1
Ctenomys sociabilis	7463	R882	2002	Mammalia	Ctenomyidae	Ctenomys	sociabilis	Ctenomys_sociabilis	Social tuco-tuco	SAm	ARG	Estancia Rincon Grande	35	NA	NA	Inf	0	NA	2	0.818	0.723	NA	NA	-40.933	-71.05	15	4133	5826	Ctenomys sociabilis	ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	CTENOMYIDAE	Ctenomys	CR	Decreasing	FALSE	FALSE	TRUE	CR	0.723	35	5	1
Ctenomys torquatus	7507	R888	2015	Mammalia	Ctenomyidae	Ctenomys	torquatus	Ctenomys_torquatus	Collared tuco-tuco	SAm	BRA	General Camara	15	0.45	Population	15775.74886	463055.7795	222533.5243	11	0.36	NA	2.27	NA	-29.919	-51.891	22	4198	5829	Ctenomys torquatus	ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	CTENOMYIDAE	Ctenomys	LC	Unknown	FALSE	FALSE	TRUE	LC	0.4925	324	1	0
Ctenosaura hemilopha	5381	R557	2006	Reptilia	Iguanidae	Ctenosaura	hemilopha	Ctenosaura_hemilopha	Spiny-tailed iguana	NAm	MEX	Isla Ceralvo	20	NA	NA	Inf	0	NA	1	0.492	0.627	4.43	NA	24.229	-109.885	10	1722	174475	Ctenosaura hemilopha	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	IGUANIDAE	Ctenosaura	LC	Unknown	FALSE	FALSE	TRUE	LC	0.627	20	1	0
Ctenosaura oedirhina	5388	R559	2016	Reptilia	Iguanidae	Ctenosaura	oedirhina	Ctenosaura_oedirhina	Roatan spiny-tailed iguana	CAm	HND	Roatan Island R11	10	0.13	Population	6958.63865	49225.18924	28414.17871	6	0.52	0.39	NA	3	16.434	-86.162	8	1729	44191	Ctenosaura oedirhina	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	IGUANIDAE	Ctenosaura	EN	Decreasing	FALSE	FALSE	TRUE	EN	0.526666666666667	102	4	1
Ctenosaura pectinata	5389	R560	2011	Reptilia	Iguanidae	Ctenosaura	pectinata	Ctenosaura_pectinata	Mexican black iguana	NAm	MEX	North (1-11_	90	0.1027	Population	131606.7237	131606.7237	131606.7237	2	NA	NA	NA	NA	19.358	-104.96	11	1730	174478	Ctenosaura pectinata	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	IGUANIDAE	Ctenosaura	LC	Decreasing	FALSE	FALSE	TRUE	LC	0.659	325	1	0
Cyanocitta stelleri	9003	R1279	2005	Aves	Corvidae	Cyanocitta	stelleri	Cyanocitta_stelleri_carlottae	North American Steller’s jays	NAm	CAN	Queen Charlotte Islands	23	NA	NA	227994.6868	1009746.009	654149.255	7	NA	0.58	5.6	4.1	53.424	-131.96	5	6097	22705614	Cyanocitta stelleri	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	CORVIDAE	Cyanocitta	LC	Increasing	FALSE	FALSE	TRUE	LC	0.66628571425	392	1	0
Cyanocorax morio	8815	R1207	2004	Aves	Corvidae	Cyanocorax	morio	Cyanocorax_morio	brown jay	CAm	CRI	Monteverde	12	NA	NA	107023.0677	107023.0677	107023.0677	2	0.748	0.798	6.6	NA	10.275	-84.826	5	5827	22705742	Cyanocorax morio	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	CORVIDAE	Cyanocorax	LC	Stable	FALSE	FALSE	TRUE	LC	0.798	12	1	0
Cyclura carinata	5418	R1277	2017	Reptilia	Iguanidae	Cyclura	carinata	Cyclura_carinata	Turks and Caicos rock iguana	Carr	TCI	Burial Cay	25	0.407	Global	4199.184099	103002.9522	46241.45695	29	0.461	0.446	NA	NA	21.887	-71.912	29	1772	6026	Cyclura carinata	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	IGUANIDAE	Cyclura	EN	Stable	FALSE	FALSE	TRUE	EN	0.460142857142857	267	4	1
Cyclura cornuta	5416	R572	2008	Reptilia	Iguanidae	Cyclura	cornuta	Cyclura_cornuta	Mona Island iguana	Carr	PRI	Mona Island	41	NA	NA	Inf	0	NA	1	0.56	0.575	4.5	NA	18.081	-67.893	11	1766	6042	Cyclura cornuta	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	IGUANIDAE	Cyclura	EN	Decreasing	FALSE	FALSE	TRUE	EN	0.575	41	4	1
Cyclura pinguis	5415	R1313	2009	Reptilia	Iguanidae	Cyclura	pinguis	Cyclura_pinguis	Anegada ground iguana	Carr	VGB	Anegada	39	NA	NA	Inf	0	NA	1	0.55	0.55	3.74	NA	18.727	-64.344	23	1765	6031	Cyclura pinguis	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	IGUANIDAE	Cyclura	CR	Increasing	FALSE	FALSE	TRUE	CR	0.55	39	5	1
Cygnus buccinator	8984	R1272	2007	Aves	Anatidae	Cygnus	buccinator	Cygnus_buccinator	Trumpeter Swan	NAm	CAN	Tokositna Valley	157	0.040095238	Population	286139.6492	3525197.902	2097301.971	16	0.343	0.434142857	2.672857143	1.948571429	62.633	-150.783	17	6061	22679859	Cygnus buccinator	ANIMALIA	CHORDATA	AVES	ANSERIFORMES	ANATIDAE	Cygnus	LC	Increasing	TRUE	TRUE	TRUE	LC	0.404714285666667	314	1	0
Cynomys gunnisoni	8174	R772	2016	Mammalia	Sciuridae	Cynomys	gunnisoni	Cynomys_gunnisoni	Gunnison's Prairie dog	NAm	USA	Aubrey Valley	16	0.098	Population	67954.46749	88031.90304	77993.18526	3	0.55	0.54	NA	4.1	35.252	-113.27	12	4943	42453	Cynomys gunnisoni	ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	SCIURIDAE	Cynomys	LC	Decreasing	FALSE	FALSE	TRUE	LC	0.546666666666667	64	1	0
Cynomys ludovicianus	8178	R1010	2010	Mammalia	Sciuridae	Cynomys	ludovicianus	Cynomys_ludovicianus	Black-tailed prairie dog	NAm	USA	L15-25	28	0.2125	Population	2130.644252	15626.32052	8618.244252	5	0.554	0.562	NA	3.1	39.638	-104.894	10	4947	6091	Cynomys ludovicianus	ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	SCIURIDAE	Cynomys	LC	Decreasing	FALSE	FALSE	TRUE	LC	0.5764	979	1	0
Cynomys parvidens	8162	R1009	2016	Mammalia	Sciuridae	Cynomys	parvidens	Cynomys_parvidens	Utah prairie dog	NAm	USA	Cedar city Paiute	28	0.262	Population	19958.88177	136928.3184	67736.20046	12	0.117	0.119	6.111	NA	37.69	-113.063	11	4931	6090	Cynomys parvidens	ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	SCIURIDAE	Cynomys	EN	Decreasing	FALSE	FALSE	TRUE	EN	0.198545454545455	301	4	1
Cyphorhinus phaeocephalus	9064	R1304	2001	Aves	 Troglodytidae	Cyphorhinus	phaeocephalus	Cyphorhinus_phaeocephalus	Song wrens	NAm	USA	Florida	20	NA	NA	Inf	0	NA	1	0.536666667	0.745	7.5	NA	25.561	-80.792	6	6170	22711554	Cyphorhinus phaeocephalus	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	TROGLODYTIDAE	Cyphorhinus	LC	Decreasing	FALSE	FALSE	TRUE	LC	0.745	20	1	0
Dasypus novemcinctus	7524	R891	2009	Mammalia	Dasypodidae	Dasypus	novemcinctus	Dasypus_novemcinctus	Nine-banded Armadillo	NAm	USA	St catherine creek	19	NA	NA	213278.67	689967.7728	421555.4517	7	0.62	0.55	NA	4.29	31.22	-91.26	4	4223	6290	Dasypus novemcinctus	ANIMALIA	CHORDATA	MAMMALIA	CINGULATA	DASYPODIDAE	Dasypus	LC	Stable	FALSE	FALSE	TRUE	LC	0.642857142857143	139	1	0
Dendrobates tinctorius	4805	R635	2012	Amphibia	Dendrobatidae	Dendrobates	tinctorius	Dendrobates_tinctorius	 Dyeing poison frog 	SAm	GUF	Nature reserve ‘Les Nouragues' 	60	NA	NA	Inf	0	NA	1	0.754	0.764	10	NA	3.983	-52.583	9	989	55204	Dendrobates tinctorius	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	DENDROBATIDAE	Dendrobates	LC	Stable	FALSE	TRUE	TRUE	LC	0.764	60	1	0
Dendrocincla turdina	8755	R1173	2011	Aves	Furnariidae	Dendrocincla	turdina	Dendrocincla_turdina	plain-winged woodcreeper	SAm	BRA	Rio Grande do Sul	NA	NA	NA	Inf	0	NA	1	0.349090909	0.393636364	4.2	NA	-30.035	-51.218	11	5720	22703015	Dendrocincla turdina	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	FURNARIIDAE	Dendrocincla	LC	Decreasing	FALSE	FALSE	TRUE	LC	0.393636364	NA	1	0
