to_IUCN	PopId	RefID	Year	TaxaClass	Family	Genus	Species	G_s	Common	Continent	Country	Location	n	FST	GlobalFST	Min.Distance	Max.Distance	Mean.Distance	N.Population	Ho	He	MNA	AR	Lat	Long	Msats	row_id	taxonid	scientific_name	kingdom	phylum	class	order	family	genus	category	population_trend	marine_system	freshwater_system	terrestrial_system	rlcat	meanGD	num_indiv	IUCN_fact	IUCN_binary
Procnias tricarunculatus	8673	R1133	2007	Aves	Cotingidae	Procnias	tricarunculata	Procnias_tricarunculata	three-wattled bellbird	CAm	CRI	Azuero	44	NA	NA	288462.9891	849712.4677	560273.6408	4	0.35	0.38	6	NA	7.382	-80.734	7	5575	22700946	Procnias tricarunculatus	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	COTINGIDAE	Procnias	VU	Decreasing	FALSE	FALSE	TRUE	VU	0.38	44	3	1
Procyon lotor	8115	R1000	2012	Mammalia	Procyonidae	Procyon	lotor	Procyon_lotor	Northern raccoon	NAm	CAN	Charron Island	29	0.0683	Population	16544.78104	238389.2779	91462.11742	5	0.73	0.76	NA	8.14	45.608	-73.476	10	4884	41686	Procyon lotor	ANIMALIA	CHORDATA	MAMMALIA	CARNIVORA	PROCYONIDAE	Procyon	LC	Increasing	FALSE	FALSE	TRUE	LC	0.790259259259259	5773	1	0
Protonotaria citrea	8530	R1077	2016	Aves	Parulidae	Protonotaria	citrea	Protonotaria_citrea	prothonotary warbler	NAm	USA	Richmond	312	NA	NA	Inf	0	NA	1	0.626	0.7285	18.225	NA	37.541	-77.436	6	5330	22721765	Protonotaria citrea	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	PARULIDAE	Protonotaria	LC	Decreasing	FALSE	FALSE	TRUE	LC	0.7285	312	1	0
Pseudacris ornata	5258	R541	2010	Amphibia	Hylidae	Pseudacris	ornata	Pseudacris_ornata	Ornate chorus frog	NAm	USA	Colleton Co. B	26	0.1062	Population	5602.068164	547288.4142	239609.8691	9	0.481	0.5	6.857	NA	33.042	-80.428	7	1588	55896	Pseudacris ornata	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYLIDAE	Pseudacris	LC	Stable	FALSE	TRUE	TRUE	LC	0.519333333333333	304	1	0
Pseudacris streckeri	5233	R540	2015	Amphibia	Hylidae	Pseudacris	streckeri	Pseudacris_streckeri	Strecker's chorus frog	NAm	USA	ARK4	9	0.1807	Population	27074.41599	694370.7875	432338.9505	23	0.651	0.672	4.5	3.43	35.161	-93.12	14	1563	55898	Pseudacris streckeri	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYLIDAE	Pseudacris	LC	Unknown	FALSE	TRUE	TRUE	LC	0.6623	99	1	0
Pseudemys alabamensis	5086	R519	2014	Reptilia	Emydidae	Pseudemys	alabamensis	Pseudemys_alabamensis	Alabama red-bellied cooter	NAm	USA	Mobile-Tensaw Delta (Hwy 90/98)	228	0.0211	Population	Inf	0	NA	1	0.5	0.51	6.83	3.03	30.689	-88.064	6	1344	18458	Pseudemys alabamensis	ANIMALIA	CHORDATA	REPTILIA	TESTUDINES	EMYDIDAE	Pseudemys	EN	NA	FALSE	TRUE	TRUE	EN	0.51	228	4	1
Pseudoeurycea leprosa	5728	R622	2013	Amphibia	Plethodontidae	Pseudoeurycea	leprosa	Pseudoeurycea_leprosa	Leprous brook salamander	NAm	MEX	MalincheE	13	0.205	Population	6879.225417	196929.2625	90077.31308	21	NA	0.56	6.11	4.73	19.23	-97.975	11	2202	59383	Pseudoeurycea leprosa	ANIMALIA	CHORDATA	AMPHIBIA	CAUDATA	PLETHODONTIDAE	Pseudoeurycea	LC	Decreasing	FALSE	FALSE	TRUE	LC	0.641875	349	1	0
Pterodroma phaeopygia	8677	R1137	2006	Aves	Procellariidae	Pterodroma	phaeopygia	Pterodroma_phaeopygia	Galapagos petrel	SAm	ECU	San Cristobal	206	NA	NA	90143.41053	177432.0256	134599.4675	5	NA	0.459666667	6.857142857	NA	-0.922	-89.502	6	5583	22698020	Pterodroma phaeopygia	ANIMALIA	CHORDATA	AVES	PROCELLARIIFORMES	PROCELLARIIDAE	Pterodroma	CR	Decreasing	TRUE	FALSE	TRUE	CR	0.459666667	206	5	1
Pteronura brasiliensis	8085	R987	2012	Mammalia	Mustelidae	Pteronura	brasiliensis	Pteronura_brasiliensis	Giant otter	SAm	BOL	Itenez	32	0.1033	Population	1467524.472	2003983.698	1735754.085	3	0.57	0.61	5.15	3.3	-13.097	-63.311	13	4853	18711	Pteronura brasiliensis	ANIMALIA	CHORDATA	MAMMALIA	CARNIVORA	MUSTELIDAE	Pteronura	EN	Decreasing	FALSE	TRUE	TRUE	EN	0.61625	73	4	1
Puma concolor	7702	R930	2003	Mammalia	Felidae	Puma	concolor	Puma_concolor	Cougar	NAm	USA	Eastern Sierra Nevada-S	22	0.1722	Population	68095.21709	591006.2938	388872.0368	11	0.52	NA	3.2	NA	37.66	-118.901	11	4459	18868	Puma concolor	ANIMALIA	CHORDATA	MAMMALIA	CARNIVORA	FELIDAE	Puma	LC	Decreasing	FALSE	FALSE	TRUE	LC	0.600137254901961	3575	1	0
